1,AMNİON SIVISINDAN KROMOZOM,Amnion sıvısı,,,1,",",2,",",3,",",4,",",5,,,"enjektör,Greiner tüp",,,18-24,°C,,,21,GÜN,,,"KÜLTÜR,KARYOTİP",,,20,ml,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
2,CVS MATERYALİNDEN KROMOZOM,Koryon villüs,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24,°C,,,21,GÜN,,,"KÜLTÜR,KARYOTİP",,,20-30,mg,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
3,CVS MATERYALİNDEN KROMOZOM,koryon villüs,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24,°C,,,3,GÜN,,,"DİREKT,KARYOTİP",,,20-30,mg,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
4,FETAL KANDAN KROMOZOM,Kordon kanı,heparinli,,1,",",2,",",3,",",4,",",5,,,yeşil Kapaklı Tüp,,,18-24,°C,,,10,GÜN,,,"KÜLTÜR,KARYOTİP",,,2-5,ml,,,Her Gün,300.00 TL,255.00 TL,210.00 TL
5,PERİFERİK KANDAN KROMOZOM,periferik kan,heparinli,,1,",",2,",",3,",",4,",",5,,,yeşil Kapaklı Tüp,,,18-24,°C,,,18,GÜN,,,"KÜLTÜR,KARYOTİP",,,2-5,ml,,,Her Gün,175.00 TL,148.75 TL,122.50 TL
6,QF-PCR ile ANÖPLOİDİ TARAMASI,Amnion sıvısı,,,1,",",2,",",3,",",4,",",5,,,"enjektör,Greiner tüp",,,18-24,°C,,,,GÜN,,,PCR,,,20,ml,,,Her Gün,,,
,QF-PCR ile ANÖPLOİDİ TARAMASI,Koryon villüs,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24,°C,,,3,GÜN,,,PCR,,,20-30,mg,,,Her Gün,,,
,QF-PCR ile ANÖPLOİDİ TARAMASI,Kordon kanı,ETDA,,1,",",2,",",3,",",4,",",5,,,mor kapaklı tüp,,,18-24,°C,,,3,GÜN,,,PCR,,,2-5,ml,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
,QF-PCR ile ANÖPLOİDİ TARAMASI,abort materyali,,,1,",",2,",",3,",",4,",",5,,,"transport medium,steril kap",,,18-24,°C,,,3,GÜN,,,PCR,,,1 , cm³,,,Her gün,,,
,QF-PCR ile ANÖPLOİDİ TARAMASI,periferik kan,EDTA,,1,",",2,",",3,",",4,",",5,,,mor kapaklı tüp,,,18-24,°C,,,3,GÜN,,,PCR,,,,,,,Her Gün,,,
7,DÜŞÜK MATERYALİNDEN KROMOZOM,fetal doku,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24 ,°C,,,30,GÜN,,,"KÜLTÜR,KARYOTİP",,,1 ,cm³,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
8,CİLT BİYOPSİ ÖRNEĞİNDEN KROMOZOM,cilt biyopsi,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24,°C,,,30,GÜN,,,"KÜLTÜR,KARYOTİP",,,1 ,cm³,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
9,KEMİK İLİĞİNDEN KROMOZOM,kemik iliği,heparinli,,1,",",2,",",3,",",4,",",5,,,yeşil kapaklı tüp,,,18-24,°C,,,21,GÜN,,,"KÜLTÜR,KARYOTİP",,,1-2,ml,,,Her Gün,350.00 TL,297.50 TL,245.00 TL
10,FISH İLE ANÖPLOİDİ TARAMASI,Amnion sıvısı,,,1,",",2,",",3,",",4,",",5,,,"enjektör,Greiner tüp",,,18-24,°C,,,,GÜN,,,FISH,,,20,ml,,,Her Gün,,,
,FISH İLE ANÖPLOİDİ TARAMASI,Koryon villüs,,,1,",",2,",",3,",",4,",",5,,,transport medium,,,18-24,°C,,,3,GÜN,,,FISH,,,20-30,mg,,,Her Gün,,,
